Service Type,Year,Value
Saturday Holiday,"January 3, 2018",
Special(Saturday),"January 3, 2018",
Sunday,"January 3, 2018",
Sunday Holiday,"January 3, 2018",
Weekday,"January 3, 2018",538957.0
July 4th Special,"January 4, 2018",
July 4th Special Sked,"January 4, 2018",
Saturday,"January 4, 2018",
Saturday Holiday,"January 4, 2018",
Special(Saturday),"January 4, 2018",
Sunday,"January 4, 2018",
Sunday Holiday,"January 4, 2018",
Weekday,"January 4, 2018",417678.0
July 4th Special,"January 5, 2018",
July 4th Special Sked,"January 5, 2018",
Saturday,"January 5, 2018",
Saturday Holiday,"January 5, 2018",
Special(Saturday),"January 5, 2018",
Sunday,"January 5, 2018",
Sunday Holiday,"January 5, 2018",
Weekday,"January 5, 2018",447222.0
July 4th Special,"January 8, 2018",
July 4th Special Sked,"January 8, 2018",
Saturday,"January 8, 2018",
Saturday Holiday,"January 8, 2018",
Special(Saturday),"January 8, 2018",
Sunday,"January 8, 2018",
Sunday Holiday,"January 8, 2018",
Weekday,"January 8, 2018",543972.0
July 4th Special,"January 9, 2018",
July 4th Special Sked,"January 9, 2018",
Saturday,"January 9, 2018",
Saturday Holiday,"January 9, 2018",
Special(Saturday),"January 9, 2018",
Sunday,"January 9, 2018",
Sunday Holiday,"January 9, 2018",
Weekday,"January 9, 2018",606220.0
July 4th Special,"January 10, 2018",
July 4th Special Sked,"January 10, 2018",
Saturday,"January 10, 2018",
Saturday Holiday,"January 10, 2018",
Special(Saturday),"January 10, 2018",
Sunday,"January 10, 2018",
Sunday Holiday,"January 10, 2018",
Weekday,"January 10, 2018",613049.0
July 4th Special,"January 11, 2018",
July 4th Special Sked,"January 11, 2018",
Saturday,"January 11, 2018",
Saturday Holiday,"January 11, 2018",
Special(Saturday),"January 11, 2018",
Sunday,"January 11, 2018",
Sunday Holiday,"January 11, 2018",
Weekday,"January 11, 2018",612099.0
July 4th Special,"January 12, 2018",
July 4th Special Sked,"January 12, 2018",
Saturday,"January 12, 2018",
Saturday Holiday,"January 12, 2018",
Special(Saturday),"January 12, 2018",
Sunday,"January 12, 2018",
Sunday Holiday,"January 12, 2018",
Weekday,"January 12, 2018",539683.0
July 4th Special,"January 15, 2018",
July 4th Special Sked,"January 15, 2018",
Saturday,"January 15, 2018",
Saturday Holiday,"January 15, 2018",171211.0
Special(Saturday),"January 15, 2018",
Sunday,"January 15, 2018",
Sunday Holiday,"January 15, 2018",
Weekday,"January 15, 2018",
July 4th Special,"January 16, 2018",
July 4th Special Sked,"January 16, 2018",
Saturday,"January 16, 2018",
Saturday Holiday,"January 16, 2018",
Special(Saturday),"January 16, 2018",
Sunday,"January 16, 2018",
Sunday Holiday,"January 16, 2018",
Weekday,"January 16, 2018",567853.0
July 4th Special,"January 17, 2018",
July 4th Special Sked,"January 17, 2018",
Saturday,"January 17, 2018",
Saturday Holiday,"January 17, 2018",
Special(Saturday),"January 17, 2018",
Sunday,"January 17, 2018",
Sunday Holiday,"January 17, 2018",
Weekday,"January 17, 2018",561599.0
July 4th Special,"January 18, 2018",
July 4th Special Sked,"January 18, 2018",
Saturday,"January 18, 2018",
Saturday Holiday,"January 18, 2018",
Special(Saturday),"January 18, 2018",
Sunday,"January 18, 2018",
Sunday Holiday,"January 18, 2018",
Weekday,"January 18, 2018",611088.0
July 4th Special,"January 19, 2018",
July 4th Special Sked,"January 19, 2018",
Saturday,"January 19, 2018",
Saturday Holiday,"January 19, 2018",
Special(Saturday),"January 19, 2018",
Sunday,"January 19, 2018",
Sunday Holiday,"January 19, 2018",
Weekday,"January 19, 2018",609939.0
July 4th Special,"January 22, 2018",
July 4th Special Sked,"January 22, 2018",
Saturday,"January 22, 2018",
Saturday Holiday,"January 22, 2018",
Special(Saturday),"January 22, 2018",
Sunday,"January 22, 2018",
Sunday Holiday,"January 22, 2018",
Weekday,"January 22, 2018",538585.0
July 4th Special,"January 23, 2018",
July 4th Special Sked,"January 23, 2018",
Saturday,"January 23, 2018",
Saturday Holiday,"January 23, 2018",
Special(Saturday),"January 23, 2018",
Sunday,"January 23, 2018",
Sunday Holiday,"January 23, 2018",
Weekday,"January 23, 2018",596055.0
July 4th Special,"January 24, 2018",
July 4th Special Sked,"January 24, 2018",
Saturday,"January 24, 2018",
Saturday Holiday,"January 24, 2018",
Special(Saturday),"January 24, 2018",
Sunday,"January 24, 2018",
Sunday Holiday,"January 24, 2018",
Weekday,"January 24, 2018",603549.0
July 4th Special,"January 25, 2018",
July 4th Special Sked,"January 25, 2018",
Saturday,"January 25, 2018",
Saturday Holiday,"January 25, 2018",
Special(Saturday),"January 25, 2018",
Sunday,"January 25, 2018",
Sunday Holiday,"January 25, 2018",
Weekday,"January 25, 2018",608868.0
July 4th Special,"January 26, 2018",
July 4th Special Sked,"January 26, 2018",
Saturday,"January 26, 2018",
Saturday Holiday,"January 26, 2018",
Special(Saturday),"January 26, 2018",
Sunday,"January 26, 2018",
Sunday Holiday,"January 26, 2018",
Weekday,"January 26, 2018",558135.0
July 4th Special,"January 29, 2018",
July 4th Special Sked,"January 29, 2018",
Saturday,"January 29, 2018",
Saturday Holiday,"January 29, 2018",
Special(Saturday),"January 29, 2018",
Sunday,"January 29, 2018",
Sunday Holiday,"January 29, 2018",
Weekday,"January 29, 2018",565373.0
July 4th Special,"January 30, 2018",
July 4th Special Sked,"January 30, 2018",
Saturday,"January 30, 2018",
Saturday Holiday,"January 30, 2018",
Special(Saturday),"January 30, 2018",
Sunday,"January 30, 2018",
Sunday Holiday,"January 30, 2018",
Weekday,"January 30, 2018",599673.0
July 4th Special,"January 31, 2018",
July 4th Special Sked,"January 31, 2018",
Saturday,"January 31, 2018",
Saturday Holiday,"January 31, 2018",
Special(Saturday),"January 31, 2018",
Sunday,"January 31, 2018",
Sunday Holiday,"January 31, 2018",
Weekday,"January 31, 2018",604060.0
July 4th Special,"February 1, 2018",
July 4th Special Sked,"February 1, 2018",
Saturday,"February 1, 2018",
Saturday Holiday,"February 1, 2018",
Special(Saturday),"February 1, 2018",
Sunday,"February 1, 2018",
Sunday Holiday,"February 1, 2018",
Weekday,"February 1, 2018",607226.0
July 4th Special,"February 2, 2018",
July 4th Special Sked,"February 2, 2018",
Saturday,"February 2, 2018",
Saturday Holiday,"February 2, 2018",
Special(Saturday),"February 2, 2018",
Sunday,"February 2, 2018",
Sunday Holiday,"February 2, 2018",
Weekday,"February 2, 2018",534921.0
July 4th Special,"February 5, 2018",
July 4th Special Sked,"February 5, 2018",
Saturday,"February 5, 2018",
Saturday Holiday,"February 5, 2018",
Special(Saturday),"February 5, 2018",
Sunday,"February 5, 2018",
Sunday Holiday,"February 5, 2018",
Weekday,"February 5, 2018",549272.0
July 4th Special,"February 6, 2018",
July 4th Special Sked,"February 6, 2018",
Saturday,"February 6, 2018",
Saturday Holiday,"February 6, 2018",
Special(Saturday),"February 6, 2018",
Sunday,"February 6, 2018",
Sunday Holiday,"February 6, 2018",
Weekday,"February 6, 2018",603513.0
July 4th Special,"February 7, 2018",
July 4th Special Sked,"February 7, 2018",
Saturday,"February 7, 2018",
Saturday Holiday,"February 7, 2018",
Special(Saturday),"February 7, 2018",
Sunday,"February 7, 2018",
Sunday Holiday,"February 7, 2018",
Weekday,"February 7, 2018",540113.0
July 4th Special,"February 8, 2018",
July 4th Special Sked,"February 8, 2018",
Saturday,"February 8, 2018",
Saturday Holiday,"February 8, 2018",
Special(Saturday),"February 8, 2018",
Sunday,"February 8, 2018",
Sunday Holiday,"February 8, 2018",
Weekday,"February 8, 2018",606486.0
July 4th Special,"February 9, 2018",
July 4th Special Sked,"February 9, 2018",
Saturday,"February 9, 2018",
Saturday Holiday,"February 9, 2018",
Special(Saturday),"February 9, 2018",
Sunday,"February 9, 2018",
Sunday Holiday,"February 9, 2018",
Weekday,"February 9, 2018",549415.0
July 4th Special,"February 12, 2018",
July 4th Special Sked,"February 12, 2018",
Saturday,"February 12, 2018",
Saturday Holiday,"February 12, 2018",
Special(Saturday),"February 12, 2018",
Sunday,"February 12, 2018",
Sunday Holiday,"February 12, 2018",
Weekday,"February 12, 2018",567564.0
July 4th Special,"February 13, 2018",
July 4th Special Sked,"February 13, 2018",
Saturday,"February 13, 2018",
Saturday Holiday,"February 13, 2018",
Special(Saturday),"February 13, 2018",
Sunday,"February 13, 2018",
Sunday Holiday,"February 13, 2018",
Weekday,"February 13, 2018",612679.0
July 4th Special,"February 14, 2018",
July 4th Special Sked,"February 14, 2018",
Saturday,"February 14, 2018",
Saturday Holiday,"February 14, 2018",
Special(Saturday),"February 14, 2018",
Sunday,"February 14, 2018",
Sunday Holiday,"February 14, 2018",
Weekday,"February 14, 2018",608403.0
July 4th Special,"February 15, 2018",
July 4th Special Sked,"February 15, 2018",
Saturday,"February 15, 2018",
Saturday Holiday,"February 15, 2018",
Special(Saturday),"February 15, 2018",
Sunday,"February 15, 2018",
Sunday Holiday,"February 15, 2018",
Weekday,"February 15, 2018",610796.0
July 4th Special,"February 16, 2018",
July 4th Special Sked,"February 16, 2018",
Saturday,"February 16, 2018",
Saturday Holiday,"February 16, 2018",
Special(Saturday),"February 16, 2018",
Sunday,"February 16, 2018",
Sunday Holiday,"February 16, 2018",
Weekday,"February 16, 2018",527447.0
July 4th Special,"February 19, 2018",
July 4th Special Sked,"February 19, 2018",
Saturday,"February 19, 2018",
Saturday Holiday,"February 19, 2018",212121.0
Special(Saturday),"February 19, 2018",
Sunday,"February 19, 2018",
Sunday Holiday,"February 19, 2018",
Weekday,"February 19, 2018",
July 4th Special,"February 20, 2018",
July 4th Special Sked,"February 20, 2018",
Saturday,"February 20, 2018",
Saturday Holiday,"February 20, 2018",
Special(Saturday),"February 20, 2018",
Sunday,"February 20, 2018",
Sunday Holiday,"February 20, 2018",
Weekday,"February 20, 2018",604411.0
July 4th Special,"February 21, 2018",
July 4th Special Sked,"February 21, 2018",
Saturday,"February 21, 2018",
Saturday Holiday,"February 21, 2018",
Special(Saturday),"February 21, 2018",
Sunday,"February 21, 2018",
Sunday Holiday,"February 21, 2018",
Weekday,"February 21, 2018",621602.0
July 4th Special,"February 22, 2018",
July 4th Special Sked,"February 22, 2018",
Saturday,"February 22, 2018",
Saturday Holiday,"February 22, 2018",
Special(Saturday),"February 22, 2018",
Sunday,"February 22, 2018",
Sunday Holiday,"February 22, 2018",
Weekday,"February 22, 2018",608655.0
July 4th Special,"February 23, 2018",
July 4th Special Sked,"February 23, 2018",
Saturday,"February 23, 2018",
Saturday Holiday,"February 23, 2018",
Special(Saturday),"February 23, 2018",
Sunday,"February 23, 2018",
Sunday Holiday,"February 23, 2018",
Weekday,"February 23, 2018",568396.0
July 4th Special,"February 26, 2018",
July 4th Special Sked,"February 26, 2018",
Saturday,"February 26, 2018",
Saturday Holiday,"February 26, 2018",
Special(Saturday),"February 26, 2018",
Sunday,"February 26, 2018",
Sunday Holiday,"February 26, 2018",
Weekday,"February 26, 2018",577972.0
July 4th Special,"February 27, 2018",
July 4th Special Sked,"February 27, 2018",
Saturday,"February 27, 2018",
Saturday Holiday,"February 27, 2018",
Special(Saturday),"February 27, 2018",
Sunday,"February 27, 2018",
Sunday Holiday,"February 27, 2018",
Weekday,"February 27, 2018",631786.0
July 4th Special,"February 28, 2018",
July 4th Special Sked,"February 28, 2018",
Saturday,"February 28, 2018",
Saturday Holiday,"February 28, 2018",
Special(Saturday),"February 28, 2018",
Sunday,"February 28, 2018",
Sunday Holiday,"February 28, 2018",
Weekday,"February 28, 2018",622746.0
July 4th Special,"March 1, 2018",
July 4th Special Sked,"March 1, 2018",
Saturday,"March 1, 2018",
Saturday Holiday,"March 1, 2018",
Special(Saturday),"March 1, 2018",
Sunday,"March 1, 2018",
Sunday Holiday,"March 1, 2018",
Weekday,"March 1, 2018",610806.0
July 4th Special,"March 2, 2018",
July 4th Special Sked,"March 2, 2018",
Saturday,"March 2, 2018",
Saturday Holiday,"March 2, 2018",
Special(Saturday),"March 2, 2018",
Sunday,"March 2, 2018",
Sunday Holiday,"March 2, 2018",
Weekday,"March 2, 2018",290806.0
July 4th Special,"March 5, 2018",
July 4th Special Sked,"March 5, 2018",
Saturday,"March 5, 2018",
Saturday Holiday,"March 5, 2018",
Special(Saturday),"March 5, 2018",
Sunday,"March 5, 2018",
Sunday Holiday,"March 5, 2018",
Weekday,"March 5, 2018",595815.0
July 4th Special,"March 6, 2018",
July 4th Special Sked,"March 6, 2018",
Saturday,"March 6, 2018",
Saturday Holiday,"March 6, 2018",
Special(Saturday),"March 6, 2018",
Sunday,"March 6, 2018",
Sunday Holiday,"March 6, 2018",
Weekday,"March 6, 2018",635833.0
July 4th Special,"March 7, 2018",
July 4th Special Sked,"March 7, 2018",
Saturday,"March 7, 2018",
Saturday Holiday,"March 7, 2018",
Special(Saturday),"March 7, 2018",
Sunday,"March 7, 2018",
Sunday Holiday,"March 7, 2018",
Weekday,"March 7, 2018",618503.0
July 4th Special,"March 8, 2018",
July 4th Special Sked,"March 8, 2018",
Saturday,"March 8, 2018",
Saturday Holiday,"March 8, 2018",
Special(Saturday),"March 8, 2018",
Sunday,"March 8, 2018",
Sunday Holiday,"March 8, 2018",
Weekday,"March 8, 2018",640617.0
July 4th Special,"March 9, 2018",
July 4th Special Sked,"March 9, 2018",
Saturday,"March 9, 2018",
Saturday Holiday,"March 9, 2018",
Special(Saturday),"March 9, 2018",
Sunday,"March 9, 2018",
Sunday Holiday,"March 9, 2018",
Weekday,"March 9, 2018",588631.0
July 4th Special,"March 12, 2018",
July 4th Special Sked,"March 12, 2018",
Saturday,"March 12, 2018",
Saturday Holiday,"March 12, 2018",
Special(Saturday),"March 12, 2018",
Sunday,"March 12, 2018",
Sunday Holiday,"March 12, 2018",
Weekday,"March 12, 2018",598929.0
July 4th Special,"March 13, 2018",
July 4th Special Sked,"March 13, 2018",
Saturday,"March 13, 2018",
Saturday Holiday,"March 13, 2018",
Special(Saturday),"March 13, 2018",
Sunday,"March 13, 2018",
Sunday Holiday,"March 13, 2018",
Weekday,"March 13, 2018",649299.0
July 4th Special,"March 14, 2018",
July 4th Special Sked,"March 14, 2018",
Saturday,"March 14, 2018",
Saturday Holiday,"March 14, 2018",
Special(Saturday),"March 14, 2018",
Sunday,"March 14, 2018",
Sunday Holiday,"March 14, 2018",
Weekday,"March 14, 2018",648251.0
July 4th Special,"March 15, 2018",
July 4th Special Sked,"March 15, 2018",
Saturday,"March 15, 2018",
Saturday Holiday,"March 15, 2018",
Special(Saturday),"March 15, 2018",
Sunday,"March 15, 2018",
Sunday Holiday,"March 15, 2018",
Weekday,"March 15, 2018",639910.0
July 4th Special,"March 16, 2018",
July 4th Special Sked,"March 16, 2018",
Saturday,"March 16, 2018",
Saturday Holiday,"March 16, 2018",
Special(Saturday),"March 16, 2018",
Sunday,"March 16, 2018",
Sunday Holiday,"March 16, 2018",
Weekday,"March 16, 2018",577276.0
July 4th Special,"March 19, 2018",
July 4th Special Sked,"March 19, 2018",
Saturday,"March 19, 2018",
Saturday Holiday,"March 19, 2018",
Special(Saturday),"March 19, 2018",
Sunday,"March 19, 2018",
Sunday Holiday,"March 19, 2018",
Weekday,"March 19, 2018",601098.0
July 4th Special,"March 20, 2018",
July 4th Special Sked,"March 20, 2018",
Saturday,"March 20, 2018",
Saturday Holiday,"March 20, 2018",
Special(Saturday),"March 20, 2018",
Sunday,"March 20, 2018",
Sunday Holiday,"March 20, 2018",
Weekday,"March 20, 2018",611198.0
July 4th Special,"March 21, 2018",
July 4th Special Sked,"March 21, 2018",
Saturday,"March 21, 2018",
Saturday Holiday,"March 21, 2018",
Special(Saturday),"March 21, 2018",
Sunday,"March 21, 2018",
Sunday Holiday,"March 21, 2018",
Weekday,"March 21, 2018",170607.0
July 4th Special,"March 22, 2018",
July 4th Special Sked,"March 22, 2018",
Saturday,"March 22, 2018",
Saturday Holiday,"March 22, 2018",
Special(Saturday),"March 22, 2018",
Sunday,"March 22, 2018",
Sunday Holiday,"March 22, 2018",
Weekday,"March 22, 2018",586041.0
July 4th Special,"March 23, 2018",
July 4th Special Sked,"March 23, 2018",
Saturday,"March 23, 2018",
Saturday Holiday,"March 23, 2018",
Special(Saturday),"March 23, 2018",
Sunday,"March 23, 2018",
Sunday Holiday,"March 23, 2018",
Weekday,"March 23, 2018",622626.0
July 4th Special,"March 26, 2018",
July 4th Special Sked,"March 26, 2018",
Saturday,"March 26, 2018",
Saturday Holiday,"March 26, 2018",
Special(Saturday),"March 26, 2018",
Sunday,"March 26, 2018",
Sunday Holiday,"March 26, 2018",
Weekday,"March 26, 2018",605205.0
July 4th Special,"March 27, 2018",
July 4th Special Sked,"March 27, 2018",
Saturday,"March 27, 2018",
Saturday Holiday,"March 27, 2018",
Special(Saturday),"March 27, 2018",
Sunday,"March 27, 2018",
Sunday Holiday,"March 27, 2018",
Weekday,"March 27, 2018",647880.0
July 4th Special,"March 28, 2018",
July 4th Special Sked,"March 28, 2018",
Saturday,"March 28, 2018",
Saturday Holiday,"March 28, 2018",
Special(Saturday),"March 28, 2018",
Sunday,"March 28, 2018",
Sunday Holiday,"March 28, 2018",
Weekday,"March 28, 2018",638495.0
July 4th Special,"March 29, 2018",
July 4th Special Sked,"March 29, 2018",
Saturday,"March 29, 2018",
Saturday Holiday,"March 29, 2018",
Special(Saturday),"March 29, 2018",
Sunday,"March 29, 2018",
Sunday Holiday,"March 29, 2018",
Weekday,"March 29, 2018",636143.0
July 4th Special,"March 30, 2018",
July 4th Special Sked,"March 30, 2018",
Saturday,"March 30, 2018",
Saturday Holiday,"March 30, 2018",
Special(Saturday),"March 30, 2018",
Sunday,"March 30, 2018",
Sunday Holiday,"March 30, 2018",
Weekday,"March 30, 2018",562622.0
July 4th Special,"April 2, 2018",
July 4th Special Sked,"April 2, 2018",
Saturday,"April 2, 2018",
Saturday Holiday,"April 2, 2018",
Special(Saturday),"April 2, 2018",
Sunday,"April 2, 2018",
Sunday Holiday,"April 2, 2018",
Weekday,"April 2, 2018",607721.0
July 4th Special,"April 3, 2018",
July 4th Special Sked,"April 3, 2018",
Saturday,"April 3, 2018",
Saturday Holiday,"April 3, 2018",
Special(Saturday),"April 3, 2018",
Sunday,"April 3, 2018",
Sunday Holiday,"April 3, 2018",
Weekday,"April 3, 2018",671465.0
July 4th Special,"April 4, 2018",
July 4th Special Sked,"April 4, 2018",
Saturday,"April 4, 2018",
Saturday Holiday,"April 4, 2018",
Special(Saturday),"April 4, 2018",
Sunday,"April 4, 2018",
Sunday Holiday,"April 4, 2018",
Weekday,"April 4, 2018",684485.0
July 4th Special,"April 5, 2018",
July 4th Special Sked,"April 5, 2018",
Saturday,"April 5, 2018",
Saturday Holiday,"April 5, 2018",
Special(Saturday),"April 5, 2018",
Sunday,"April 5, 2018",
Sunday Holiday,"April 5, 2018",
Weekday,"April 5, 2018",748942.0
July 4th Special,"April 6, 2018",
July 4th Special Sked,"April 6, 2018",
Saturday,"April 6, 2018",
Saturday Holiday,"April 6, 2018",
Special(Saturday),"April 6, 2018",
Sunday,"April 6, 2018",
Sunday Holiday,"April 6, 2018",
Weekday,"April 6, 2018",715496.0
July 4th Special,"April 9, 2018",
July 4th Special Sked,"April 9, 2018",
Saturday,"April 9, 2018",
Saturday Holiday,"April 9, 2018",
Special(Saturday),"April 9, 2018",
Sunday,"April 9, 2018",
Sunday Holiday,"April 9, 2018",
Weekday,"April 9, 2018",611258.0
July 4th Special,"April 10, 2018",
July 4th Special Sked,"April 10, 2018",
Saturday,"April 10, 2018",
Saturday Holiday,"April 10, 2018",
Special(Saturday),"April 10, 2018",
Sunday,"April 10, 2018",
Sunday Holiday,"April 10, 2018",
Weekday,"April 10, 2018",666112.0
July 4th Special,"April 11, 2018",
July 4th Special Sked,"April 11, 2018",
Saturday,"April 11, 2018",
Saturday Holiday,"April 11, 2018",
Special(Saturday),"April 11, 2018",
Sunday,"April 11, 2018",
Sunday Holiday,"April 11, 2018",
Weekday,"April 11, 2018",664011.0
July 4th Special,"April 12, 2018",
July 4th Special Sked,"April 12, 2018",
Saturday,"April 12, 2018",
Saturday Holiday,"April 12, 2018",
Special(Saturday),"April 12, 2018",
Sunday,"April 12, 2018",
Sunday Holiday,"April 12, 2018",
Weekday,"April 12, 2018",676930.0
July 4th Special,"April 13, 2018",
July 4th Special Sked,"April 13, 2018",
Saturday,"April 13, 2018",
Saturday Holiday,"April 13, 2018",
Special(Saturday),"April 13, 2018",
Sunday,"April 13, 2018",
Sunday Holiday,"April 13, 2018",
Weekday,"April 13, 2018",650027.0
July 4th Special,"April 16, 2018",
July 4th Special Sked,"April 16, 2018",
Saturday,"April 16, 2018",
Saturday Holiday,"April 16, 2018",
Special(Saturday),"April 16, 2018",
Sunday,"April 16, 2018",
Sunday Holiday,"April 16, 2018",
Weekday,"April 16, 2018",581004.0
July 4th Special,"April 17, 2018",
July 4th Special Sked,"April 17, 2018",
Saturday,"April 17, 2018",
Saturday Holiday,"April 17, 2018",
Special(Saturday),"April 17, 2018",
Sunday,"April 17, 2018",
Sunday Holiday,"April 17, 2018",
Weekday,"April 17, 2018",655857.0
July 4th Special,"April 18, 2018",
July 4th Special Sked,"April 18, 2018",
Saturday,"April 18, 2018",
Saturday Holiday,"April 18, 2018",
Special(Saturday),"April 18, 2018",
Sunday,"April 18, 2018",
Sunday Holiday,"April 18, 2018",
Weekday,"April 18, 2018",658905.0
July 4th Special,"April 19, 2018",
July 4th Special Sked,"April 19, 2018",
Saturday,"April 19, 2018",
Saturday Holiday,"April 19, 2018",
Special(Saturday),"April 19, 2018",
Sunday,"April 19, 2018",
Sunday Holiday,"April 19, 2018",
Weekday,"April 19, 2018",654782.0
July 4th Special,"April 20, 2018",
July 4th Special Sked,"April 20, 2018",
Saturday,"April 20, 2018",
Saturday Holiday,"April 20, 2018",
Special(Saturday),"April 20, 2018",
Sunday,"April 20, 2018",
Sunday Holiday,"April 20, 2018",
Weekday,"April 20, 2018",622383.0
July 4th Special,"April 23, 2018",
July 4th Special Sked,"April 23, 2018",
Saturday,"April 23, 2018",
Saturday Holiday,"April 23, 2018",
Special(Saturday),"April 23, 2018",
Sunday,"April 23, 2018",
Sunday Holiday,"April 23, 2018",
Weekday,"April 23, 2018",598388.0
July 4th Special,"April 24, 2018",
July 4th Special Sked,"April 24, 2018",
Saturday,"April 24, 2018",
Saturday Holiday,"April 24, 2018",
Special(Saturday),"April 24, 2018",
Sunday,"April 24, 2018",
Sunday Holiday,"April 24, 2018",
Weekday,"April 24, 2018",634129.0
July 4th Special,"April 25, 2018",
July 4th Special Sked,"April 25, 2018",
Saturday,"April 25, 2018",
Saturday Holiday,"April 25, 2018",
Special(Saturday),"April 25, 2018",
Sunday,"April 25, 2018",
Sunday Holiday,"April 25, 2018",
Weekday,"April 25, 2018",637144.0
July 4th Special,"April 26, 2018",
July 4th Special Sked,"April 26, 2018",
Saturday,"April 26, 2018",
Saturday Holiday,"April 26, 2018",
Special(Saturday),"April 26, 2018",
Sunday,"April 26, 2018",
Sunday Holiday,"April 26, 2018",
Weekday,"April 26, 2018",679834.0
July 4th Special,"April 27, 2018",
July 4th Special Sked,"April 27, 2018",
Saturday,"April 27, 2018",
Saturday Holiday,"April 27, 2018",
Special(Saturday),"April 27, 2018",
Sunday,"April 27, 2018",
Sunday Holiday,"April 27, 2018",
Weekday,"April 27, 2018",599435.0
July 4th Special,"April 30, 2018",
July 4th Special Sked,"April 30, 2018",
Saturday,"April 30, 2018",
Saturday Holiday,"April 30, 2018",
Special(Saturday),"April 30, 2018",
Sunday,"April 30, 2018",
Sunday Holiday,"April 30, 2018",
Weekday,"April 30, 2018",598754.0
July 4th Special,"May 1, 2018",
July 4th Special Sked,"May 1, 2018",
Saturday,"May 1, 2018",
Saturday Holiday,"May 1, 2018",
Special(Saturday),"May 1, 2018",
Sunday,"May 1, 2018",
Sunday Holiday,"May 1, 2018",
Weekday,"May 1, 2018",645917.0
July 4th Special,"May 2, 2018",
July 4th Special Sked,"May 2, 2018",
Saturday,"May 2, 2018",
Saturday Holiday,"May 2, 2018",
Special(Saturday),"May 2, 2018",
Sunday,"May 2, 2018",
Sunday Holiday,"May 2, 2018",
Weekday,"May 2, 2018",705453.0
July 4th Special,"May 3, 2018",
July 4th Special Sked,"May 3, 2018",
Saturday,"May 3, 2018",
Saturday Holiday,"May 3, 2018",
Special(Saturday),"May 3, 2018",
Sunday,"May 3, 2018",
Sunday Holiday,"May 3, 2018",
Weekday,"May 3, 2018",650444.0
July 4th Special,"May 4, 2018",
July 4th Special Sked,"May 4, 2018",
Saturday,"May 4, 2018",
Saturday Holiday,"May 4, 2018",
Special(Saturday),"May 4, 2018",
Sunday,"May 4, 2018",
Sunday Holiday,"May 4, 2018",
Weekday,"May 4, 2018",600775.0
July 4th Special,"May 7, 2018",
July 4th Special Sked,"May 7, 2018",
Saturday,"May 7, 2018",
Saturday Holiday,"May 7, 2018",
Special(Saturday),"May 7, 2018",
Sunday,"May 7, 2018",
Sunday Holiday,"May 7, 2018",
Weekday,"May 7, 2018",593318.0
July 4th Special,"May 8, 2018",
July 4th Special Sked,"May 8, 2018",
Saturday,"May 8, 2018",
Saturday Holiday,"May 8, 2018",
Special(Saturday),"May 8, 2018",
Sunday,"May 8, 2018",
Sunday Holiday,"May 8, 2018",
Weekday,"May 8, 2018",635717.0
July 4th Special,"May 9, 2018",
July 4th Special Sked,"May 9, 2018",
Saturday,"May 9, 2018",
Saturday Holiday,"May 9, 2018",
Special(Saturday),"May 9, 2018",
Sunday,"May 9, 2018",
Sunday Holiday,"May 9, 2018",
Weekday,"May 9, 2018",636670.0
July 4th Special,"May 10, 2018",
July 4th Special Sked,"May 10, 2018",
Saturday,"May 10, 2018",
Saturday Holiday,"May 10, 2018",
Special(Saturday),"May 10, 2018",
Sunday,"May 10, 2018",
Sunday Holiday,"May 10, 2018",
Weekday,"May 10, 2018",626938.0
July 4th Special,"May 11, 2018",
July 4th Special Sked,"May 11, 2018",
Saturday,"May 11, 2018",
Saturday Holiday,"May 11, 2018",
Special(Saturday),"May 11, 2018",
Sunday,"May 11, 2018",
Sunday Holiday,"May 11, 2018",
Weekday,"May 11, 2018",581838.0
July 4th Special,"May 14, 2018",
July 4th Special Sked,"May 14, 2018",
Saturday,"May 14, 2018",
Saturday Holiday,"May 14, 2018",
Special(Saturday),"May 14, 2018",
Sunday,"May 14, 2018",
Sunday Holiday,"May 14, 2018",
Weekday,"May 14, 2018",591117.0
July 4th Special,"May 15, 2018",
July 4th Special Sked,"May 15, 2018",
Saturday,"May 15, 2018",
Saturday Holiday,"May 15, 2018",
Special(Saturday),"May 15, 2018",
Sunday,"May 15, 2018",
Sunday Holiday,"May 15, 2018",
Weekday,"May 15, 2018",674762.0
July 4th Special,"May 16, 2018",
July 4th Special Sked,"May 16, 2018",
Saturday,"May 16, 2018",
Saturday Holiday,"May 16, 2018",
Special(Saturday),"May 16, 2018",
Sunday,"May 16, 2018",
Sunday Holiday,"May 16, 2018",
Weekday,"May 16, 2018",642362.0
July 4th Special,"May 17, 2018",
July 4th Special Sked,"May 17, 2018",
Saturday,"May 17, 2018",
Saturday Holiday,"May 17, 2018",
Special(Saturday),"May 17, 2018",
Sunday,"May 17, 2018",
Sunday Holiday,"May 17, 2018",
Weekday,"May 17, 2018",645407.0
July 4th Special,"May 18, 2018",
July 4th Special Sked,"May 18, 2018",
Saturday,"May 18, 2018",
Saturday Holiday,"May 18, 2018",
Special(Saturday),"May 18, 2018",
Sunday,"May 18, 2018",
Sunday Holiday,"May 18, 2018",
Weekday,"May 18, 2018",571938.0
July 4th Special,"May 21, 2018",
July 4th Special Sked,"May 21, 2018",
Saturday,"May 21, 2018",
Saturday Holiday,"May 21, 2018",
Special(Saturday),"May 21, 2018",
Sunday,"May 21, 2018",
Sunday Holiday,"May 21, 2018",
