Service Type,Year,Value
Saturday Holiday,"March 16, 2012",
Special(Saturday),"March 16, 2012",
Sunday,"March 16, 2012",
Sunday Holiday,"March 16, 2012",
Weekday,"March 16, 2012",750696.0
July 4th Special,"March 19, 2012",
July 4th Special Sked,"March 19, 2012",
Saturday,"March 19, 2012",
Saturday Holiday,"March 19, 2012",
Special(Saturday),"March 19, 2012",
Sunday,"March 19, 2012",
Sunday Holiday,"March 19, 2012",
Weekday,"March 19, 2012",719853.0
July 4th Special,"March 20, 2012",
July 4th Special Sked,"March 20, 2012",
Saturday,"March 20, 2012",
Saturday Holiday,"March 20, 2012",
Special(Saturday),"March 20, 2012",
Sunday,"March 20, 2012",
Sunday Holiday,"March 20, 2012",
Weekday,"March 20, 2012",767843.0
July 4th Special,"March 21, 2012",
July 4th Special Sked,"March 21, 2012",
Saturday,"March 21, 2012",
Saturday Holiday,"March 21, 2012",
Special(Saturday),"March 21, 2012",
Sunday,"March 21, 2012",
Sunday Holiday,"March 21, 2012",
Weekday,"March 21, 2012",774212.0
July 4th Special,"March 22, 2012",
July 4th Special Sked,"March 22, 2012",
Saturday,"March 22, 2012",
Saturday Holiday,"March 22, 2012",
Special(Saturday),"March 22, 2012",
Sunday,"March 22, 2012",
Sunday Holiday,"March 22, 2012",
Weekday,"March 22, 2012",802376.0
July 4th Special,"March 23, 2012",
July 4th Special Sked,"March 23, 2012",
Saturday,"March 23, 2012",
Saturday Holiday,"March 23, 2012",
Special(Saturday),"March 23, 2012",
Sunday,"March 23, 2012",
Sunday Holiday,"March 23, 2012",
Weekday,"March 23, 2012",844763.0
July 4th Special,"March 26, 2012",
July 4th Special Sked,"March 26, 2012",
Saturday,"March 26, 2012",
Saturday Holiday,"March 26, 2012",
Special(Saturday),"March 26, 2012",
Sunday,"March 26, 2012",
Sunday Holiday,"March 26, 2012",
Weekday,"March 26, 2012",736402.0
July 4th Special,"March 27, 2012",
July 4th Special Sked,"March 27, 2012",
Saturday,"March 27, 2012",
Saturday Holiday,"March 27, 2012",
Special(Saturday),"March 27, 2012",
Sunday,"March 27, 2012",
Sunday Holiday,"March 27, 2012",
Weekday,"March 27, 2012",782222.0
July 4th Special,"March 28, 2012",
July 4th Special Sked,"March 28, 2012",
Saturday,"March 28, 2012",
Saturday Holiday,"March 28, 2012",
Special(Saturday),"March 28, 2012",
Sunday,"March 28, 2012",
Sunday Holiday,"March 28, 2012",
Weekday,"March 28, 2012",773265.0
July 4th Special,"March 29, 2012",
July 4th Special Sked,"March 29, 2012",
Saturday,"March 29, 2012",
Saturday Holiday,"March 29, 2012",
Special(Saturday),"March 29, 2012",
Sunday,"March 29, 2012",
Sunday Holiday,"March 29, 2012",
Weekday,"March 29, 2012",776452.0
July 4th Special,"March 30, 2012",
July 4th Special Sked,"March 30, 2012",
Saturday,"March 30, 2012",
Saturday Holiday,"March 30, 2012",
Special(Saturday),"March 30, 2012",
Sunday,"March 30, 2012",
Sunday Holiday,"March 30, 2012",
Weekday,"March 30, 2012",783967.0
July 4th Special,"April 2, 2012",
July 4th Special Sked,"April 2, 2012",
Saturday,"April 2, 2012",
Saturday Holiday,"April 2, 2012",
Special(Saturday),"April 2, 2012",
Sunday,"April 2, 2012",
Sunday Holiday,"April 2, 2012",
Weekday,"April 2, 2012",756639.0
July 4th Special,"April 3, 2012",
July 4th Special Sked,"April 3, 2012",
Saturday,"April 3, 2012",
Saturday Holiday,"April 3, 2012",
Special(Saturday),"April 3, 2012",
Sunday,"April 3, 2012",
Sunday Holiday,"April 3, 2012",
Weekday,"April 3, 2012",811406.0
July 4th Special,"April 4, 2012",
July 4th Special Sked,"April 4, 2012",
Saturday,"April 4, 2012",
Saturday Holiday,"April 4, 2012",
Special(Saturday),"April 4, 2012",
Sunday,"April 4, 2012",
Sunday Holiday,"April 4, 2012",
Weekday,"April 4, 2012",796595.0
July 4th Special,"April 5, 2012",
July 4th Special Sked,"April 5, 2012",
Saturday,"April 5, 2012",
Saturday Holiday,"April 5, 2012",
Special(Saturday),"April 5, 2012",
Sunday,"April 5, 2012",
Sunday Holiday,"April 5, 2012",
Weekday,"April 5, 2012",801645.0
July 4th Special,"April 6, 2012",
July 4th Special Sked,"April 6, 2012",
Saturday,"April 6, 2012",
Saturday Holiday,"April 6, 2012",
Special(Saturday),"April 6, 2012",
Sunday,"April 6, 2012",
Sunday Holiday,"April 6, 2012",
Weekday,"April 6, 2012",731098.0
July 4th Special,"April 9, 2012",
July 4th Special Sked,"April 9, 2012",
Saturday,"April 9, 2012",
Saturday Holiday,"April 9, 2012",
Special(Saturday),"April 9, 2012",
Sunday,"April 9, 2012",
Sunday Holiday,"April 9, 2012",
Weekday,"April 9, 2012",716407.0
July 4th Special,"April 10, 2012",
July 4th Special Sked,"April 10, 2012",
Saturday,"April 10, 2012",
Saturday Holiday,"April 10, 2012",
Special(Saturday),"April 10, 2012",
Sunday,"April 10, 2012",
Sunday Holiday,"April 10, 2012",
Weekday,"April 10, 2012",773932.0
July 4th Special,"April 11, 2012",
July 4th Special Sked,"April 11, 2012",
Saturday,"April 11, 2012",
Saturday Holiday,"April 11, 2012",
Special(Saturday),"April 11, 2012",
Sunday,"April 11, 2012",
Sunday Holiday,"April 11, 2012",
Weekday,"April 11, 2012",781084.0
July 4th Special,"April 12, 2012",
July 4th Special Sked,"April 12, 2012",
Saturday,"April 12, 2012",
Saturday Holiday,"April 12, 2012",
Special(Saturday),"April 12, 2012",
Sunday,"April 12, 2012",
Sunday Holiday,"April 12, 2012",
Weekday,"April 12, 2012",824635.0
July 4th Special,"April 13, 2012",
July 4th Special Sked,"April 13, 2012",
Saturday,"April 13, 2012",
Saturday Holiday,"April 13, 2012",
Special(Saturday),"April 13, 2012",
Sunday,"April 13, 2012",
Sunday Holiday,"April 13, 2012",
Weekday,"April 13, 2012",808921.0
July 4th Special,"April 16, 2012",
July 4th Special Sked,"April 16, 2012",
Saturday,"April 16, 2012",
Saturday Holiday,"April 16, 2012",
Special(Saturday),"April 16, 2012",
Sunday,"April 16, 2012",
Sunday Holiday,"April 16, 2012",
Weekday,"April 16, 2012",719836.0
July 4th Special,"April 17, 2012",
July 4th Special Sked,"April 17, 2012",
Saturday,"April 17, 2012",
Saturday Holiday,"April 17, 2012",
Special(Saturday),"April 17, 2012",
Sunday,"April 17, 2012",
Sunday Holiday,"April 17, 2012",
Weekday,"April 17, 2012",788771.0
July 4th Special,"April 18, 2012",
July 4th Special Sked,"April 18, 2012",
Saturday,"April 18, 2012",
Saturday Holiday,"April 18, 2012",
Special(Saturday),"April 18, 2012",
Sunday,"April 18, 2012",
Sunday Holiday,"April 18, 2012",
Weekday,"April 18, 2012",778218.0
July 4th Special,"April 19, 2012",
July 4th Special Sked,"April 19, 2012",
Saturday,"April 19, 2012",
Saturday Holiday,"April 19, 2012",
Special(Saturday),"April 19, 2012",
Sunday,"April 19, 2012",
Sunday Holiday,"April 19, 2012",
Weekday,"April 19, 2012",807790.0
July 4th Special,"April 20, 2012",
July 4th Special Sked,"April 20, 2012",
Saturday,"April 20, 2012",
Saturday Holiday,"April 20, 2012",
Special(Saturday),"April 20, 2012",
Sunday,"April 20, 2012",
Sunday Holiday,"April 20, 2012",
Weekday,"April 20, 2012",784480.0
July 4th Special,"April 23, 2012",
July 4th Special Sked,"April 23, 2012",
Saturday,"April 23, 2012",
Saturday Holiday,"April 23, 2012",
Special(Saturday),"April 23, 2012",
Sunday,"April 23, 2012",
Sunday Holiday,"April 23, 2012",
Weekday,"April 23, 2012",699285.0
July 4th Special,"April 24, 2012",
July 4th Special Sked,"April 24, 2012",
Saturday,"April 24, 2012",
Saturday Holiday,"April 24, 2012",
Special(Saturday),"April 24, 2012",
Sunday,"April 24, 2012",
Sunday Holiday,"April 24, 2012",
Weekday,"April 24, 2012",742875.0
July 4th Special,"April 25, 2012",
July 4th Special Sked,"April 25, 2012",
Saturday,"April 25, 2012",
Saturday Holiday,"April 25, 2012",
Special(Saturday),"April 25, 2012",
Sunday,"April 25, 2012",
Sunday Holiday,"April 25, 2012",
Weekday,"April 25, 2012",758770.0
July 4th Special,"April 26, 2012",
July 4th Special Sked,"April 26, 2012",
Saturday,"April 26, 2012",
Saturday Holiday,"April 26, 2012",
Special(Saturday),"April 26, 2012",
Sunday,"April 26, 2012",
Sunday Holiday,"April 26, 2012",
Weekday,"April 26, 2012",754261.0
July 4th Special,"April 27, 2012",
July 4th Special Sked,"April 27, 2012",
Saturday,"April 27, 2012",
Saturday Holiday,"April 27, 2012",
Special(Saturday),"April 27, 2012",
Sunday,"April 27, 2012",
Sunday Holiday,"April 27, 2012",
Weekday,"April 27, 2012",737971.0
July 4th Special,"April 30, 2012",
July 4th Special Sked,"April 30, 2012",
